"seller_id","active_days","avg_revenue_per_day"
"80ceebb4ee9b31afb6c6a916a574a1e2","1","6729.00"
"ee27a8f15b1dded4d213a468ba4eb391","1","6499.00"
"b37c4c02bda3161a7546a4e6d222d5b2","4","6018.75"
"c4f7fee5b0db50e87766f5a4d1b1b758","3","3987.28"
"585175ec331ea177fa47199e39a6170a","1","3549.00"
"abe021b01ba992245271b9aa422032df","2","3360.00"
"a00824eb9093d40e589b940ec45c4eb0","3","3133.32"
"e2a1ac9bf33e5549a2a4f834e70df2f8","5","2999.89"
"e908c0f3646e8b60375734a350d95d71","1","2951.00"
"d63c73efd41eb002280e7ec831424edb","2","2799.00"
"1444c08e64d55fb3c25f0f09c07ffcf2","1","2749.00"
"039e6ad9dae79614493083e241147386","5","2585.00"
"961dff0a659b4561334372337dd897d9","4","2486.50"
"59417c56835dd8e2e72f91f809cd4092","15","2430.60"
"c004e5ea15737026cecaee0447e00b75","2","2350.00"
"6fa9202c10491e472dffd59a3e82b2a3","3","2338.08"
"e3b4998c7a498169dc7bce44e6bb6277","3","2299.30"
"b1b3948701c5c72445495bd161b83a4c","11","2245.38"
"40db9e9aa57f7bb151bcda6b0f9bdbb7","11","2106.18"
"8de8fe3af4449ed695d2434c933ed73e","1","2090.00"
"2a167ca73899c85001a837d8fb4962f6","2","2048.50"
"8ec76bb0965af3f007692b26fa9d6623","1","1999.00"
"bede56095ba33c42038fb85f707b8a42","2","1986.95"
"5d378b73ab7dd6f0418d743e5dcb0bd1","7","1891.86"
"cb810bd318f51b3dc3c753944d61a1fa","1","1750.00"
"2bf6a2c1e71bbd29a4ad64e6d3c3629f","29","1745.82"
"8ff38bc3969e67c36c48343a07090f66","2","1736.00"
"6b1c4d4d9ccf0be3d8544eb0e71e5318","1","1699.00"
"731ef20c231d9a7103a425e83fd91271","1","1692.00"
"a1040efe9ff4a6f93c28b0499eada8f5","1","1658.83"
"397c4d0c005b6f41f90098ac724e28cb","5","1635.40"
"8fb791022c1fc8909664f48ab7dc636d","5","1623.99"
"6bd69102ab48df500790a8cecfc285c2","5","1614.00"
"f6122bc84774df1b372bdb3bb88ddb9f","3","1599.96"
"850857dfac77488c307e2b1cbd84ab5a","1","1599.00"
"cf8ab1616079e2793aa29d524df01bb1","9","1599.00"
"05feb94f19d094d4b0f9281f0b1d4c99","6","1558.83"
"612a743d294c27884fb7b80d2b19ba35","2","1528.85"
"c7b7db6c8f3c64a7cc1afa634db21d50","1","1489.00"
"53243585a1d6dc2643021fd1853d8905","150","1485.17"
"b839e41795b7f3ad94cc2014a52f6796","29","1476.86"
"dd58ee93286b0821565574c570e9e1dc","2","1474.00"
"d7827b2af99326a03b0ed9c7a24db0d3","1","1455.00"
"491a5ada3aa1678414e990262c4bbdc1","2","1420.00"
"9b1585752613ec342d03bbab9997ec48","3","1416.33"
"f08a5b9dd6767129688d001acafc21e5","10","1406.96"
"04843805947f0fc584fc1969b6e50fe7","1","1400.00"
"c3acdfac4e3e97ff87529454fbc03642","12","1399.00"
"458d868c9642f55f18f04e951a3fdde6","2","1359.00"
"33dd941c27854f7625b968cc6195a552","5","1357.50"
"54219883e72aad869adfb2a54b7bfa0f","5","1350.00"
"c4af86330efa7a2620772227d2d670c9","4","1349.00"
"5d9f3746e112e696f98ea22c56b3e912","1","1322.64"
"90d4125885ab6c86e8820a722be71974","1","1299.55"
"45a3d05fb00435e52a28859dd03703b3","1","1299.00"
