"seller_id","active_days","avg_revenue_per_day"
"0015a82c2db000af6aaaf3ae2ecb0532","3","895.00"
"001cca7ae9ae17fb1caed9dfb1094831","153","163.92"
"001e6ad469a905060d959994f1b41e4f","1","250.00"
"002100f778ceb8431b7a1020ff7ab48f","42","29.39"
"003554e2dce176b5555353e4f3555ac8","1","120.00"
"004c9cd9d87a3c30c522c48c4fc07416","126","156.45"
"00720abe85ba0859807595bbf045a33b","13","77.50"
"00ab3eff1b5192e5f1a63bcecfee11c8","1","98.00"
"00d8b143d12632bad99c0ad66ad52825","1","86.00"
"00ee68308b45bc5e2660cd833c3f81cc","95","213.26"
"00fc707aaaad2d31347cf883cd2dfe10","43","295.00"
"010543a62bd80aa422851e79a3bc7540","2","708.00"
"010da0602d7774602cd1b3f5fb7b709e","1","849.50"
"011b0eaba87386a2ae96a7d32bb531d1","1","99.98"
"01266d4c46afa519678d16a8b683d325","3","30.08"
"013900e863eace745d3ec7614cab5b1a","22","73.62"
"014c0679dd340a0e338872e7ec85666a","14","504.14"
"014d9a685fd57276679edd00e07089e5","11","66.35"
"0176f73cc1195f367f7b32db1e5b3aa8","36","131.48"
"01bcc9d254a0143f0ce9791b960b2a47","11","138.29"
"01c97ebb5cdac52891c0ed1c37ba0012","8","72.19"
"01cf7e3d21494c41fb86034f2e714fa1","50","194.59"
"01ed254b9ff8407dfb9d99ba1e17d923","5","293.20"
"01fd077212124329bac32490e8ef80d9","24","50.33"
"01fdefa7697d26ad920e9e0346d4bd1b","109","136.89"
"0241d4d5d36f10f80c644447315af0bd","155","202.57"
"0249d282d911d23cb8b869ab49c99f53","11","35.73"
"024b564ae893ce8e9bfa02c10a401ece","2","353.20"
"028872bfa080090a9d0abd4f1af168f8","1","70.50"
"02a2272692e13558373c66db98f05e2e","2","27.49"
"02b72cdeb9cfcc429f1af6f4e3f3b737","4","130.66"
"02c988090b766852e088c69d7fb3b551","13","124.51"
"02d35243ea2e497335cd0f076b45675d","13","445.69"
"02dcd3e8e25bee036e32512bcf175493","12","124.33"
"02ecc2a19303f05e59ce133fd923fff7","21","250.68"
"02f5837340d7eb4f653d676c7256523a","27","143.82"
"02f623a8eb246f3c5f7c2f96462654e6","36","177.17"
"0307f7565ff85b299b6e5ef162b1b1a9","7","675.54"
"0336182e1b3e92f029d5354832045fdf","1","29.80"
"034b9387752bfa309f350a70cd45ffa3","8","12.00"
"038b75b729c8a9a04b0d07cba7eabe86","2","233.50"
"039b29ff3b3473435d0cd59040575de9","9","12.77"
"039e6ad9dae79614493083e241147386","5","2585.00"
"03a2a6dcbe45d639c4dc2a0d24769c40","9","119.82"
"03bd479e1d9484cdb14104d3023f7321","3","119.90"
"0417b067eeab773d2f7061a726dc477f","12","154.93"
"042573af89b6d931f672efaf789d8358","3","137.83"
"04308b1ee57b6625f47df1d56f00eedf","61","985.75"
"0432ead42b6c8a0bdf68154add917fdf","76","102.53"
"044668ccd5316b12a7cf0d54a156e3e9","3","45.93"
