"seller_id","avg_delivery_days"
"0015a82c2db000af6aaaf3ae2ecb0532","9"
"0015a82c2db000af6aaaf3ae2ecb0532","12"
"0015a82c2db000af6aaaf3ae2ecb0532","10"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","6"
"001cca7ae9ae17fb1caed9dfb1094831","6"
"001cca7ae9ae17fb1caed9dfb1094831","72"
"001cca7ae9ae17fb1caed9dfb1094831","7"
"001cca7ae9ae17fb1caed9dfb1094831","7"
"001cca7ae9ae17fb1caed9dfb1094831","16"
"001cca7ae9ae17fb1caed9dfb1094831","5"
"001cca7ae9ae17fb1caed9dfb1094831","28"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","14"
"001cca7ae9ae17fb1caed9dfb1094831","14"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","11"
"001cca7ae9ae17fb1caed9dfb1094831","5"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","16"
"001cca7ae9ae17fb1caed9dfb1094831","6"
"001cca7ae9ae17fb1caed9dfb1094831","5"
"001cca7ae9ae17fb1caed9dfb1094831","24"
"001cca7ae9ae17fb1caed9dfb1094831","7"
"001cca7ae9ae17fb1caed9dfb1094831","13"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","13"
"001cca7ae9ae17fb1caed9dfb1094831","10"
"001cca7ae9ae17fb1caed9dfb1094831","7"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","22"
"001cca7ae9ae17fb1caed9dfb1094831","12"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","15"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","11"
"001cca7ae9ae17fb1caed9dfb1094831","15"
"001cca7ae9ae17fb1caed9dfb1094831","5"
"001cca7ae9ae17fb1caed9dfb1094831","13"
"001cca7ae9ae17fb1caed9dfb1094831","14"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","12"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","17"
"001cca7ae9ae17fb1caed9dfb1094831","15"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","16"
"001cca7ae9ae17fb1caed9dfb1094831","16"
"001cca7ae9ae17fb1caed9dfb1094831","7"
"001cca7ae9ae17fb1caed9dfb1094831","13"
"001cca7ae9ae17fb1caed9dfb1094831","10"
"001cca7ae9ae17fb1caed9dfb1094831","14"
"001cca7ae9ae17fb1caed9dfb1094831","29"
"001cca7ae9ae17fb1caed9dfb1094831","6"
"001cca7ae9ae17fb1caed9dfb1094831",NULL
"001cca7ae9ae17fb1caed9dfb1094831","31"
"001cca7ae9ae17fb1caed9dfb1094831","12"
"001cca7ae9ae17fb1caed9dfb1094831","3"
"001cca7ae9ae17fb1caed9dfb1094831","13"
"001cca7ae9ae17fb1caed9dfb1094831","13"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","15"
"001cca7ae9ae17fb1caed9dfb1094831","5"
"001cca7ae9ae17fb1caed9dfb1094831","10"
"001cca7ae9ae17fb1caed9dfb1094831","17"
"001cca7ae9ae17fb1caed9dfb1094831","22"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","46"
"001cca7ae9ae17fb1caed9dfb1094831","25"
"001cca7ae9ae17fb1caed9dfb1094831","22"
"001cca7ae9ae17fb1caed9dfb1094831","12"
"001cca7ae9ae17fb1caed9dfb1094831","15"
"001cca7ae9ae17fb1caed9dfb1094831","6"
"001cca7ae9ae17fb1caed9dfb1094831","11"
"001cca7ae9ae17fb1caed9dfb1094831","11"
"001cca7ae9ae17fb1caed9dfb1094831","10"
"001cca7ae9ae17fb1caed9dfb1094831","5"
"001cca7ae9ae17fb1caed9dfb1094831","7"
"001cca7ae9ae17fb1caed9dfb1094831","10"
"001cca7ae9ae17fb1caed9dfb1094831","15"
"001cca7ae9ae17fb1caed9dfb1094831","11"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","7"
"001cca7ae9ae17fb1caed9dfb1094831","7"
"001cca7ae9ae17fb1caed9dfb1094831","20"
"001cca7ae9ae17fb1caed9dfb1094831","18"
"001cca7ae9ae17fb1caed9dfb1094831","14"
"001cca7ae9ae17fb1caed9dfb1094831","16"
"001cca7ae9ae17fb1caed9dfb1094831","25"
"001cca7ae9ae17fb1caed9dfb1094831","15"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","10"
"001cca7ae9ae17fb1caed9dfb1094831","12"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","62"
"001cca7ae9ae17fb1caed9dfb1094831","15"
"001cca7ae9ae17fb1caed9dfb1094831","5"
"001cca7ae9ae17fb1caed9dfb1094831",NULL
"001cca7ae9ae17fb1caed9dfb1094831","18"
"001cca7ae9ae17fb1caed9dfb1094831","9"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","10"
"001cca7ae9ae17fb1caed9dfb1094831","10"
"001cca7ae9ae17fb1caed9dfb1094831","7"
"001cca7ae9ae17fb1caed9dfb1094831","40"
"001cca7ae9ae17fb1caed9dfb1094831","4"
"001cca7ae9ae17fb1caed9dfb1094831","11"
"001cca7ae9ae17fb1caed9dfb1094831","5"
"001cca7ae9ae17fb1caed9dfb1094831","14"
"001cca7ae9ae17fb1caed9dfb1094831","20"
"001cca7ae9ae17fb1caed9dfb1094831","8"
"001cca7ae9ae17fb1caed9dfb1094831","35"
"001cca7ae9ae17fb1caed9dfb1094831",NULL
"001cca7ae9ae17fb1caed9dfb1094831","20"
"001cca7ae9ae17fb1caed9dfb1094831","11"
