"seller_id","order_year","order_month","monthly_revenue"
"0015a82c2db000af6aaaf3ae2ecb0532","2017","9","895"
"0015a82c2db000af6aaaf3ae2ecb0532","2017","10","1790"
"001cca7ae9ae17fb1caed9dfb1094831","2017","2","1098.9"
"001cca7ae9ae17fb1caed9dfb1094831","2017","3","1676.7"
"001cca7ae9ae17fb1caed9dfb1094831","2017","4","1847.2"
"001cca7ae9ae17fb1caed9dfb1094831","2017","5","2774.99"
"001cca7ae9ae17fb1caed9dfb1094831","2017","6","2302.49"
"001cca7ae9ae17fb1caed9dfb1094831","2017","7","2483.95"
"001cca7ae9ae17fb1caed9dfb1094831","2017","8","1244"
"001cca7ae9ae17fb1caed9dfb1094831","2017","9","1714"
"001cca7ae9ae17fb1caed9dfb1094831","2017","10","2626"
"001cca7ae9ae17fb1caed9dfb1094831","2017","11","2540"
"001cca7ae9ae17fb1caed9dfb1094831","2017","12","1330"
"001cca7ae9ae17fb1caed9dfb1094831","2018","1","914"
"001cca7ae9ae17fb1caed9dfb1094831","2018","2","331"
"001cca7ae9ae17fb1caed9dfb1094831","2018","3","1185.9"
"001cca7ae9ae17fb1caed9dfb1094831","2018","4","640"
"001cca7ae9ae17fb1caed9dfb1094831","2018","6","241"
"001cca7ae9ae17fb1caed9dfb1094831","2018","7","129.9"
"001e6ad469a905060d959994f1b41e4f","2018","8","250"
"002100f778ceb8431b7a1020ff7ab48f","2017","9","47.6"
"002100f778ceb8431b7a1020ff7ab48f","2017","10","191.9"
"002100f778ceb8431b7a1020ff7ab48f","2017","11","276.8"
"002100f778ceb8431b7a1020ff7ab48f","2017","12","283.4"
"002100f778ceb8431b7a1020ff7ab48f","2018","1","77.7"
"002100f778ceb8431b7a1020ff7ab48f","2018","2","189.6"
"002100f778ceb8431b7a1020ff7ab48f","2018","3","57.7"
"002100f778ceb8431b7a1020ff7ab48f","2018","4","109.8"
"003554e2dce176b5555353e4f3555ac8","2017","12","120"
"004c9cd9d87a3c30c522c48c4fc07416","2017","1","719.94"
"004c9cd9d87a3c30c522c48c4fc07416","2017","2","2043.36"
"004c9cd9d87a3c30c522c48c4fc07416","2017","3","1078.91"
"004c9cd9d87a3c30c522c48c4fc07416","2017","4","1389.92"
"004c9cd9d87a3c30c522c48c4fc07416","2017","5","528.95"
"004c9cd9d87a3c30c522c48c4fc07416","2017","6","1338.90"
"004c9cd9d87a3c30c522c48c4fc07416","2017","7","1263.62"
"004c9cd9d87a3c30c522c48c4fc07416","2017","8","2653.98"
"004c9cd9d87a3c30c522c48c4fc07416","2017","9","1278.22"
"004c9cd9d87a3c30c522c48c4fc07416","2017","10","679.85"
"004c9cd9d87a3c30c522c48c4fc07416","2017","11","2095.40"
"004c9cd9d87a3c30c522c48c4fc07416","2017","12","1374.81"
"004c9cd9d87a3c30c522c48c4fc07416","2018","1","1110.16"
"004c9cd9d87a3c30c522c48c4fc07416","2018","2","395.19"
"004c9cd9d87a3c30c522c48c4fc07416","2018","3","659.66"
"004c9cd9d87a3c30c522c48c4fc07416","2018","4","752.34"
"004c9cd9d87a3c30c522c48c4fc07416","2018","5","349.5"
"00720abe85ba0859807595bbf045a33b","2018","1","156"
"00720abe85ba0859807595bbf045a33b","2018","2","78"
"00720abe85ba0859807595bbf045a33b","2018","3","54.0"
"00720abe85ba0859807595bbf045a33b","2018","4","151.7"
"00720abe85ba0859807595bbf045a33b","2018","5","269.6"
"00720abe85ba0859807595bbf045a33b","2018","6","88.2"
"00720abe85ba0859807595bbf045a33b","2018","7","78"
"00720abe85ba0859807595bbf045a33b","2018","8","132"
"00ab3eff1b5192e5f1a63bcecfee11c8","2017","3","98"
"00d8b143d12632bad99c0ad66ad52825","2018","3","86"
"00ee68308b45bc5e2660cd833c3f81cc","2017","9","240"
"00ee68308b45bc5e2660cd833c3f81cc","2017","10","1016"
"00ee68308b45bc5e2660cd833c3f81cc","2017","11","1735"
"00ee68308b45bc5e2660cd833c3f81cc","2017","12","1777"
"00ee68308b45bc5e2660cd833c3f81cc","2018","1","6534"
"00ee68308b45bc5e2660cd833c3f81cc","2018","2","3348"
"00ee68308b45bc5e2660cd833c3f81cc","2018","3","2688"
"00ee68308b45bc5e2660cd833c3f81cc","2018","4","2312"
"00ee68308b45bc5e2660cd833c3f81cc","2018","5","79"
"00ee68308b45bc5e2660cd833c3f81cc","2018","6","214"
"00ee68308b45bc5e2660cd833c3f81cc","2018","7","119"
"00ee68308b45bc5e2660cd833c3f81cc","2018","8","198"
"00fc707aaaad2d31347cf883cd2dfe10","2018","1","260.4"
"00fc707aaaad2d31347cf883cd2dfe10","2018","2","9096.60"
"00fc707aaaad2d31347cf883cd2dfe10","2018","3","1745.7"
"00fc707aaaad2d31347cf883cd2dfe10","2018","4","1195.8"
"00fc707aaaad2d31347cf883cd2dfe10","2018","5","190"
"00fc707aaaad2d31347cf883cd2dfe10","2018","6","196.4"
"010543a62bd80aa422851e79a3bc7540","2017","7","708"
"010543a62bd80aa422851e79a3bc7540","2017","8","708"
"010da0602d7774602cd1b3f5fb7b709e","2018","6","849.5"
"011b0eaba87386a2ae96a7d32bb531d1","2016","10","99.98"
"01266d4c46afa519678d16a8b683d325","2018","8","90.25"
"013900e863eace745d3ec7614cab5b1a","2017","3","146"
"013900e863eace745d3ec7614cab5b1a","2017","8","162"
"013900e863eace745d3ec7614cab5b1a","2017","11","120.8"
"013900e863eace745d3ec7614cab5b1a","2017","12","339.9"
"013900e863eace745d3ec7614cab5b1a","2018","1","277.5"
"013900e863eace745d3ec7614cab5b1a","2018","2","387.5"
"013900e863eace745d3ec7614cab5b1a","2018","4","186.0"
"014c0679dd340a0e338872e7ec85666a","2017","1","110"
"014c0679dd340a0e338872e7ec85666a","2017","2","110"
"014c0679dd340a0e338872e7ec85666a","2017","4","594"
"014c0679dd340a0e338872e7ec85666a","2017","5","594"
"014c0679dd340a0e338872e7ec85666a","2017","9","589"
"014c0679dd340a0e338872e7ec85666a","2017","11","175"
"014c0679dd340a0e338872e7ec85666a","2017","12","400"
"014c0679dd340a0e338872e7ec85666a","2018","1","435"
"014c0679dd340a0e338872e7ec85666a","2018","2","1320"
"014c0679dd340a0e338872e7ec85666a","2018","3","1693"
"014c0679dd340a0e338872e7ec85666a","2018","4","358"
"014c0679dd340a0e338872e7ec85666a","2018","7","680"
"014d9a685fd57276679edd00e07089e5","2017","11","69.99"
"014d9a685fd57276679edd00e07089e5","2018","1","69.99"
"014d9a685fd57276679edd00e07089e5","2018","3","217.96"
"014d9a685fd57276679edd00e07089e5","2018","4","131.97"
"014d9a685fd57276679edd00e07089e5","2018","8","239.97"
"0176f73cc1195f367f7b32db1e5b3aa8","2017","11","559.7"
"0176f73cc1195f367f7b32db1e5b3aa8","2018","1","875.4"
"0176f73cc1195f367f7b32db1e5b3aa8","2018","2","365.6"
"0176f73cc1195f367f7b32db1e5b3aa8","2018","3","292.6"
"0176f73cc1195f367f7b32db1e5b3aa8","2018","4","295.7"
"0176f73cc1195f367f7b32db1e5b3aa8","2018","5","775.4"
"0176f73cc1195f367f7b32db1e5b3aa8","2018","6","509.6"
"0176f73cc1195f367f7b32db1e5b3aa8","2018","7","779.3"
"0176f73cc1195f367f7b32db1e5b3aa8","2018","8","279.8"
"01bcc9d254a0143f0ce9791b960b2a47","2017","8","117.79"
"01bcc9d254a0143f0ce9791b960b2a47","2017","9","670.77"
"01bcc9d254a0143f0ce9791b960b2a47","2017","10","445.4"
"01bcc9d254a0143f0ce9791b960b2a47","2018","1","121.35"
"01bcc9d254a0143f0ce9791b960b2a47","2018","2","165.9"
"01c97ebb5cdac52891c0ed1c37ba0012","2017","4","58.8"
"01c97ebb5cdac52891c0ed1c37ba0012","2017","7","29.4"
"01c97ebb5cdac52891c0ed1c37ba0012","2017","8","29.4"
"01c97ebb5cdac52891c0ed1c37ba0012","2017","11","58.8"
"01c97ebb5cdac52891c0ed1c37ba0012","2018","3","326.2"
"01c97ebb5cdac52891c0ed1c37ba0012","2018","7","74.9"
"01cf7e3d21494c41fb86034f2e714fa1","2016","10","69.9"
"01cf7e3d21494c41fb86034f2e714fa1","2017","1","980.80"
"01cf7e3d21494c41fb86034f2e714fa1","2017","2","232.00"
"01cf7e3d21494c41fb86034f2e714fa1","2017","3","1274.06"
"01cf7e3d21494c41fb86034f2e714fa1","2017","4","1813.56"
"01cf7e3d21494c41fb86034f2e714fa1","2017","5","1246.99"
"01cf7e3d21494c41fb86034f2e714fa1","2017","6","89.9"
"01cf7e3d21494c41fb86034f2e714fa1","2017","7","1164.8"
"01cf7e3d21494c41fb86034f2e714fa1","2017","8","1811.45"
"01cf7e3d21494c41fb86034f2e714fa1","2018","2","1045.9"
"01ed254b9ff8407dfb9d99ba1e17d923","2017","8","678"
"01ed254b9ff8407dfb9d99ba1e17d923","2017","9","339"
"01ed254b9ff8407dfb9d99ba1e17d923","2017","10","349"
"01ed254b9ff8407dfb9d99ba1e17d923","2017","11","99.99"
"01fd077212124329bac32490e8ef80d9","2018","4","198"
"01fd077212124329bac32490e8ef80d9","2018","5","205"
"01fd077212124329bac32490e8ef80d9","2018","6","69"
"01fd077212124329bac32490e8ef80d9","2018","7","266"
"01fd077212124329bac32490e8ef80d9","2018","8","470"
"01fdefa7697d26ad920e9e0346d4bd1b","2017","4","64.9"
"01fdefa7697d26ad920e9e0346d4bd1b","2017","5","346.78"
"01fdefa7697d26ad920e9e0346d4bd1b","2017","6","366.59"
"01fdefa7697d26ad920e9e0346d4bd1b","2017","7","1361.37"
"01fdefa7697d26ad920e9e0346d4bd1b","2017","8","1085.39"
"01fdefa7697d26ad920e9e0346d4bd1b","2017","9","797.5"
"01fdefa7697d26ad920e9e0346d4bd1b","2017","10","909.46"
"01fdefa7697d26ad920e9e0346d4bd1b","2017","11","1169.56"
"01fdefa7697d26ad920e9e0346d4bd1b","2017","12","1993.42"
"01fdefa7697d26ad920e9e0346d4bd1b","2018","1","1675.8"
"01fdefa7697d26ad920e9e0346d4bd1b","2018","2","778.3"
"01fdefa7697d26ad920e9e0346d4bd1b","2018","3","518.5"
"01fdefa7697d26ad920e9e0346d4bd1b","2018","4","389.69"
"01fdefa7697d26ad920e9e0346d4bd1b","2018","5","320.8"
"01fdefa7697d26ad920e9e0346d4bd1b","2018","6","719.2"
"01fdefa7697d26ad920e9e0346d4bd1b","2018","7","604.3"
"01fdefa7697d26ad920e9e0346d4bd1b","2018","8","1819.87"
"0241d4d5d36f10f80c644447315af0bd","2017","10","123.9"
"0241d4d5d36f10f80c644447315af0bd","2017","11","652.8"
"0241d4d5d36f10f80c644447315af0bd","2017","12","797.9"
"0241d4d5d36f10f80c644447315af0bd","2018","1","3199.3"
"0241d4d5d36f10f80c644447315af0bd","2018","2","3500.3"
"0241d4d5d36f10f80c644447315af0bd","2018","3","2591.2"
"0241d4d5d36f10f80c644447315af0bd","2018","4","2851.5"
"0241d4d5d36f10f80c644447315af0bd","2018","5","4207.1"
"0241d4d5d36f10f80c644447315af0bd","2018","6","5209.7"
"0241d4d5d36f10f80c644447315af0bd","2018","7","5065.2"
"0241d4d5d36f10f80c644447315af0bd","2018","8","3198.8"
"0249d282d911d23cb8b869ab49c99f53","2017","9","43.0"
"0249d282d911d23cb8b869ab49c99f53","2017","10","129.5"
"0249d282d911d23cb8b869ab49c99f53","2017","11","198.5"
"0249d282d911d23cb8b869ab49c99f53","2018","3","22"
"024b564ae893ce8e9bfa02c10a401ece","2016","10","467.4"
"024b564ae893ce8e9bfa02c10a401ece","2017","2","239.0"
"028872bfa080090a9d0abd4f1af168f8","2017","8","70.5"
"02a2272692e13558373c66db98f05e2e","2017","2","29.99"
"02a2272692e13558373c66db98f05e2e","2017","3","24.99"
"02b72cdeb9cfcc429f1af6f4e3f3b737","2018","7","129.15"
"02b72cdeb9cfcc429f1af6f4e3f3b737","2018","8","393.5"
"02c988090b766852e088c69d7fb3b551","2017","7","229.67"
"02c988090b766852e088c69d7fb3b551","2017","8","169.99"
"02c988090b766852e088c69d7fb3b551","2017","9","47.5"
"02c988090b766852e088c69d7fb3b551","2017","10","119.4"
"02c988090b766852e088c69d7fb3b551","2017","11","37.79"
"02c988090b766852e088c69d7fb3b551","2018","1","89.9"
"02c988090b766852e088c69d7fb3b551","2018","2","34.9"
"02c988090b766852e088c69d7fb3b551","2018","4","180.9"
"02c988090b766852e088c69d7fb3b551","2018","5","175.9"
"02c988090b766852e088c69d7fb3b551","2018","6","180.9"
"02c988090b766852e088c69d7fb3b551","2018","7","180.9"
"02c988090b766852e088c69d7fb3b551","2018","8","170.9"
"02d35243ea2e497335cd0f076b45675d","2017","4","498"
"02d35243ea2e497335cd0f076b45675d","2017","6","249"
"02d35243ea2e497335cd0f076b45675d","2017","8","1245"
"02d35243ea2e497335cd0f076b45675d","2017","9","249"
"02d35243ea2e497335cd0f076b45675d","2017","11","1106"
"02d35243ea2e497335cd0f076b45675d","2017","12","1899"
"02d35243ea2e497335cd0f076b45675d","2018","3","289"
"02d35243ea2e497335cd0f076b45675d","2018","8","259"
"02dcd3e8e25bee036e32512bcf175493","2017","10","150"
"02dcd3e8e25bee036e32512bcf175493","2018","2","225"
"02dcd3e8e25bee036e32512bcf175493","2018","3","423"
"02dcd3e8e25bee036e32512bcf175493","2018","4","174"
"02dcd3e8e25bee036e32512bcf175493","2018","7","190"
"02dcd3e8e25bee036e32512bcf175493","2018","8","329.9"
"02ecc2a19303f05e59ce133fd923fff7","2017","6","149.9"
"02ecc2a19303f05e59ce133fd923fff7","2017","9","449.7"
"02ecc2a19303f05e59ce133fd923fff7","2017","11","846.1"
"02ecc2a19303f05e59ce133fd923fff7","2017","12","914.6"
"02ecc2a19303f05e59ce133fd923fff7","2018","1","447"
"02ecc2a19303f05e59ce133fd923fff7","2018","2","299.3"
"02ecc2a19303f05e59ce133fd923fff7","2018","3","1116.7"
"02ecc2a19303f05e59ce133fd923fff7","2018","4","219.22"
"02ecc2a19303f05e59ce133fd923fff7","2018","5","419.10"
